ACARA_ID,School_Name,Suburb,State,Postcode,Type,Sector,Status,Geolocation,Parent_School ID,AGE_ID,Latitude,Longitude
47834,Our Lady Help of Christians School,Earlville,QLD,4870,Primary,Non-Gov,Open,Outer Regional,47834,40490,-16.943,145.737
43235,Our Lady of Dolours Catholic Primary School,Chatswood,NSW,2067,Primary,Non-Gov,Open,Major Cities,43235,41480,-33.7946,151.184
47684,Our Lady of Dolours School,Mitchelton,QLD,4053,Primary,Non-Gov,Open,Major Cities,47684,40494,-27.4144,152.975
43383,Our Lady of Fatima Catholic Primary School,Caringbah,NSW,2229,Primary,Non-Gov,Open,Major Cities,43383,41482,-34.0457,151.122
43416,Our Lady of Fatima Catholic Primary School,Kingsgrove,NSW,2208,Primary,Non-Gov,Open,Major Cities,43416,41483,-33.9421,151.104
47685,Our Lady of Fatima Primary School,Acacia Ridge,QLD,4110,Primary,Non-Gov,Open,Major Cities,47685,40495,-27.5793,153.024
46073,Our Lady of Fatima School,Rosebud,VIC,3939,Primary,Non-Gov,Open,Major Cities,46073,44269,-38.3713,144.898
48934,Our Lady of Fatima School,Palmyra,WA,6157,Primary,Non-Gov,Open,Major Cities,48934,40112,-32.0388,115.787
43240,Our Lady of Good Counsel Catholic Primary School,Forestville,NSW,2087,Primary,Non-Gov,Open,Major Cities,43240,41484,-33.7602,151.221
48906,Our Lady of Good Counsel School,Karrinyup,WA,6018,Primary,Non-Gov,Open,Major Cities,48906,40113,-31.881,115.778
45806,Our Lady of Good Counsel School,Deepdene,VIC,3103,Primary,Non-Gov,Open,Major Cities,45806,40884,-37.811,145.063
47746,Our Lady of Good Counsel School,Gatton,QLD,4343,Primary,Non-Gov,Open,Inner Regional,47746,40496,-27.5582,152.272
48933,Our Lady of Grace School,North Beach,WA,6020,Primary,Non-Gov,Open,Major Cities,48933,40114,-31.8635,115.759
49744,Our Lady of Grace School,Glengowrie,SA,5044,Primary,Non-Gov,Open,Major Cities,49744,40291,-34.984,138.533
49785,Our Lady of Hope School,Greenwith,SA,5125,Primary,Non-Gov,Open,Major Cities,49785,54130,-34.7694,138.72
49743,Our Lady of La Vang School,Flinders Park,SA,5025,Special,Non-Gov,Open,Major Cities,49743,55345,-34.9069,138.538
43397,Our Lady of Lourdes Catholic Primary School,Earlwood,NSW,2206,Primary,Non-Gov,Open,Major Cities,43397,41487,-33.927,151.127
40009,Our Lady of Lourdes Catholic School,Devonport,TAS,7310,Primary,Non-Gov,Open,Inner Regional,40009,40018,-41.1802,146.355
43198,Our Lady of Lourdes Primary School,Seven Hills,NSW,2147,Primary,Non-Gov,Open,Major Cities,43198,41489,-33.7787,150.932
43301,Our Lady of Lourdes Primary School,Tarro,NSW,2322,Primary,Non-Gov,Open,Major Cities,43301,41490,-32.8092,151.662
43156,Our Lady of Lourdes Primary School,Baulkham Hills South,NSW,2153,Primary,Non-Gov,Open,Major Cities,43156,41486,-33.7669,150.998
47818,Our Lady of Lourdes Primary School,Ingham,QLD,4850,Primary,Non-Gov,Open,Outer Regional,47818,40467,-18.6536,146.159
