ACARA_ID,School_Name,Suburb,State,Postcode,Type,Sector,Status,Geolocation,Parent_School ID,AGE_ID
42765,Gerringong Public School,Gerringong,NSW,2534,Primary,Gov,Open,Inner Regional,42765,50050
42982,Geurie Public School,Geurie,NSW,2818,Primary,Gov,Open,Outer Regional,42982,51049
46284,Ghilgai School,Kilsyth,VIC,3137,Primary,Non-Gov,Open,Major Cities,46284,44034
52383,Giant Steps Melbourne,Kew,VIC,3101,Special,Non-Gov,Open,Major Cities,52383,70327
43740,Giant Steps Sydney,Gladesville,NSW,2111,Special,Non-Gov,Open,Major Cities,43740,55625
40235,Giant Steps Tasmania,Deloraine,TAS,7304,Special,Non-Gov,Open,Outer Regional,40235,54375
43871,Gib Gate School,Mittagong,NSW,2575,Primary,Non-Gov,Open,Inner Regional,43871,41382
40751,Gibberagong Environmental Education Centre,North Turramurra,NSW,2074,Special,Gov,Open,Major Cities,40751,64083
48584,Gibbs Street Primary School,East Cannington,WA,6107,Primary,Gov,Open,Major Cities,48584,55200
48718,Gidgegannup Primary School,Gidgegannup,WA,6083,Primary,Gov,Open,Inner Regional,48718,55094
53063,Gilgai Plains Primary School,Kalkallo,VIC,3064,Primary,Gov,Open,Major Cities,53063,
42442,Gilgai Public School,Gilgai,NSW,2360,Primary,Gov,Open,Outer Regional,42442,49399
43110,Gilgandra High School,Gilgandra,NSW,2827,Secondary,Gov,Open,Outer Regional,43110,46453
42983,Gilgandra Public School,Gilgandra,NSW,2827,Primary,Gov,Open,Outer Regional,42983,51037
50021,Gillen Primary School,Gillen,NT,870,Primary,Gov,Open,Remote,50021,47886
49157,Gilles Street Primary School,Adelaide,SA,5000,Primary,Gov,Open,Major Cities,49157,46566
53008,Gillieston Heights Adventist School,Gillieston Heights,NSW,2321,Primary,Non-Gov,Open,Major Cities,53008,
41897,Gillieston Public School,Gillieston Heights,NSW,2321,Primary,Gov,Open,Major Cities,41897,49170
42344,Gillwinga Public School,South Grafton,NSW,2460,Primary,Gov,Open,Inner Regional,42344,49718
48138,Gilmore College,Orelia,WA,6167,Secondary,Gov,Open,Major Cities,48138,46661
49942,Gilmore Primary School,Gilmore,ACT,2905,Primary,Gov,Open,Major Cities,49942,54389
43217,Gilroy Catholic College,Castle Hill,NSW,2154,Secondary,Non-Gov,Open,Major Cities,43217,42365
47864,Gilroy Santa Maria College,Ingham,QLD,4850,Secondary,Non-Gov,Open,Outer Regional,47864,57227
46239,Gilson College,Taylors Hill,VIC,3037,Combined,Non-Gov,Open,Major Cities,46239,42422
50589,Gilson College - Mernda Campus,Mernda,VIC,3754,Combined,Non-Gov,Open,Major Cities,46239,77644
46435,Gilston State School,Gilston,QLD,4211,Primary,Gov,Open,Major Cities,46435,51570
47512,Gin Gin State High School,Gin Gin,QLD,4671,Secondary,Gov,Open,Outer Regional,47512,46544
46617,Gin Gin State School,Gin Gin,QLD,4671,Primary,Gov,Open,Outer Regional,46617,52798
46859,Gindie State School,Gindie,QLD,4702,Primary,Gov,Open,Remote,46859,52908
48225,Gingin District High School,Gingin,WA,6503,Combined,Gov,Open,Inner Regional,48225,52634
46196,Gippsland Grammar,Sale,VIC,3850,Combined,Non-Gov,Open,Inner Regional,46196,56353
46198,Gippsland Grammar - Bairnsdale Campus,Wy Yung,VIC,3875,Combined,Non-Gov,Open,Outer Regional,46196,77488
46197,Gippsland Grammar - Second Campus,Sale,VIC,3850,Combined,Non-Gov,Open,Inner Regional,46196,77329
49890,Giralang Primary School,Giralang,ACT,2617,Primary,Gov,Open,Major Cities,49890,50398
44688,Girgarre Primary School,Girgarre,VIC,3624,Primary,Gov,Open,Inner Regional,44688,51455
42984,Girilambone Public School,Girilambone,NSW,2831,Primary,Gov,Open,Remote,42984,51050
40649,Girrakool School,Kariong,NSW,2250,Special,Gov,Open,Major Cities,40649,56188
41833,Girraween High School,Girraween,NSW,2145,Secondary,Gov,Open,Major Cities,41833,47804
50022,Girraween Primary School,Girraween,NT,836,Primary,Gov,Open,Outer Regional,50022,57039
